Server / IP	Port Num	Direction	Ass'y	Messages				Parameters			Action	Remark		
				Name		S	F	#	Name	Description				
				MESSAGES	ID									
PC1~2	8000 ~8001	H → V	PLVI	REQ_MEASURE		107	5	1	nDataID	ID 값 사용	PLVI 검사를 요청한다.			
								2	nStatus					
								3	cData[10][64]	cData[0] : PLVI 위치	0 = Set-Plate1, 1 = Set-Plate2, … 11 = Shuttle Table1, 12 = Shuttle Table2, … 21 = Retest Buffer1, 22 = Retest Buffer2, …	Retest Buffer 번호 추가 (Retest Buffer에 대한 PLVI는 미정)		
										cData[1] : PKG name	현재 검사하는 PKG			
										cData[2] : C-Tray 정보	[2][0] : C-Tray X [2][1] : C-Tray Y	X, Y 수량 일치 확인 (동일 PKG 확인)		
										cData[3] : 개별 Device 정보	개별 Device에 대한 정보 [3][0] : 0 = Device 없음, 99 = Device 존재 [3][1], …	수량 정보는 C-tray X, C-tray Y값으로 계산		
		V → H		REQ_RESULT		107	6	1	nDataID	Req ID 형태로 보낸다.	Req ID + 1000			
								2	nStatus	status	0 = STATUS_ERROR 1 = STATUS_SUCCESS			
								3	cData[10][64]	cData[0] : Error Description	0=BUSY, 1=CAM_DISCONNET, 2=CAM_TIMEOUT, 3=CAM_STATUS_FAIL, 4=LIGHT_ERROR, 5=NO_TEACHING_DATA	PLVI 검사 위치의 Teaching Data가 없는 경우: 5		
		H → V		REQ_MEASURE		107	5	1	nDataID	ID 값 사용	PLVI 검사 결과를 요청한다.			
								2	nStatus					
								3	cData[10][64]					
		V → H		REQ_RESULT		107	6	1	nDataID	Req ID 형태로 보낸다.	Req ID + 1000			
								2	nStatus	status	0 = STATUS_ERROR 1 = STATUS_SUCCESS			
								3	cData[10][64]	cData[0] : Error Description	0=BUSY, 1=CAM_DISCONNET, 2=CAM_TIMEOUT, 3=CAM_STATUS_FAIL, 4=LIGHT_ERROR			
										cData[1] : 결과	[ '0' : OK ] [ '1' : NG ]	PLVI 전체 결과		
